time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss
11,-351.39285714285717,450,50,22528,400.0,100,0.048974609375,1061.216064453125,0.4323936700820923,1028.449324131012,0.004128071,-0.6082122292369604,0.2,0.0003,-0.004359976373962127
12,-325.3114754098361,450,54,24576,400.0,110,0.049267578125,30.079458236694336,0.3875805139541626,81.363973402977,0.009228384,-0.5252688313834369,0.2,0.0003,-0.0023653546581044794
13,-355.3484848484849,452,58,26624,400.0,120,0.0083984375,167.6199493408203,0.5372315347194672,596.3619661092758,0.0030384497,-0.5207773144356906,0.2,0.0003,-0.002096729438926559
14,-324.6056338028169,452,63,28672,400.0,130,0.006591796875,6013.0712890625,0.3704110383987427,7479.976959609985,0.00072795607,-0.4999923910014331,0.2,0.0003,-0.00017515381769044324
15,-291.42105263157896,451,68,30720,400.0,140,0.008837890625,176.7266845703125,0.7169767320156097,358.0381247997284,0.0017530692,-0.5093272622674704,0.2,0.0003,-0.0003333131979161408
16,-339.4938271604938,451,72,32768,400.0,150,0.03408203125,36.93392562866211,0.6024238765239716,90.95168504714965,0.005522375,-0.4603602489456534,0.2,0.0003,-0.0019321439584018662
17,-311.92816091954023,451,77,34816,400.0,160,0.035400390625,2561.837646484375,0.3222609758377075,11315.405192565919,0.0065429937,-0.5657974125817418,0.2,0.0003,-0.0067821939155692235
18,-282.64402173913044,448,82,36864,400.0,170,0.01416015625,57.00331497192383,0.6681988537311554,115.7802043557167,0.0018009066,-0.43352025439962744,0.2,0.0003,-0.0004932485477183946
19,-255.659793814433,446,87,38912,400.0,180,0.058251953125,45.451263427734375,0.4524521231651306,76.72174925804138,0.005079931,-0.388568255957216,0.2,0.0003,-0.003108692828391213
20,-277.405,442,92,40960,400.0,190,0.0029296875,157.47450256347656,0.4583427309989929,829.0530292987823,0.0005476247,-0.4296913202852011,0.2,0.0003,0.000550662217574427
21,-264.015,442,97,43008,400.0,200,0.005859375,2605.384765625,0.6064072847366333,4288.20905456543,0.0039363317,-0.48822032660245895,0.2,0.0003,-0.003220987207896542
22,-178.1625,442,101,45056,400.0,210,0.016943359375,29.304615020751953,0.7229690253734589,83.90725673437119,0.0018440373,-0.39816343793645503,0.2,0.0003,-0.00037052768311696127
23,-171.14,443,106,47104,400.0,220,0.01318359375,46.205196380615234,0.5522307455539703,97.50203437805176,0.0037873315,-0.38316587153822185,0.2,0.0003,-0.0004147891246248037
24,-144.33,443,110,49152,400.0,230,0.00458984375,5067.11572265625,0.457226037979126,6360.5097171783445,0.0003996806,-0.41206873543560507,0.2,0.0003,-0.00033027641620719805
25,-160.05,444,115,51200,400.0,240,0.021484375,298.2362365722656,0.7329029440879822,408.81623260974885,0.004467901,-0.4714802627451718,0.2,0.0003,-0.004925067057774868
26,-194.9225,445,119,53248,400.0,250,0.008935546875,1465.647705078125,0.5430955588817596,4258.730436134339,0.0005193621,-0.47211420089006423,0.2,0.0003,-0.0008274369014543481
27,-141.5175,446,123,55296,400.0,260,0.026806640625,1303.8494873046875,0.6743557453155518,4638.405853271484,0.002527567,-0.4693317745812237,0.2,0.0003,-0.007046787228318863
28,-137.4175,447,128,57344,400.0,270,0.039501953125,112.36236572265625,0.8250866681337357,280.35798754692075,0.00509564,-0.38352356050163505,0.2,0.0003,-0.0028961137250007596
29,-130.6775,447,132,59392,400.0,280,0.022705078125,132.2725067138672,0.8350838124752045,352.9749720096588,0.005040326,-0.41687096720561384,0.2,0.0003,-0.001662814456358319
30,-130.2325,448,137,61440,400.0,290,0.02314453125,51.11642074584961,0.9052325338125229,148.09807049036027,0.00413396,-0.35938438372686504,0.2,0.0003,-0.0014312396771856584
31,-117.45,449,141,63488,400.0,300,0.019775390625,460.3746032714844,0.8108028322458267,1144.3000222206115,0.0047436934,-0.3942902729846537,0.2,0.0003,-0.0021702953839849216
32,-68.64,449,145,65536,400.0,310,0.0294921875,91.47786712646484,0.7789454013109207,208.11058716773988,0.004773316,-0.3657738257199526,0.2,0.0003,-0.0014052287020604125
33,-88.6775,449,150,67584,400.0,320,0.04697265625,66.30895233154297,0.7483850121498108,143.18167691230775,0.0027039368,-0.35786493867635727,0.2,0.0003,-0.0040505010256310925
34,-76.855,450,154,69632,400.0,330,0.018212890625,309.4282531738281,0.8679463565349579,439.00621581077576,0.0032687848,-0.41652389252558353,0.2,0.0003,-0.0026589206783683038
